name,location,price,rating
M4You,"Lower Town, Zagreb",820,8.8
Villa Vino & Grad,Zagreb,1200,9.8
Zest and Nest Boutique Apartments,"Upper Town – Medvescak, Zagreb",1100,8.9
Apartman Kaptol,"Upper Town – Medvescak, Zagreb",1300,9.3
GreenHouse,Zagreb,1919,9.7
House Dornik,"Upper Town – Medvescak, Zagreb",1897,9.4
Madison Luxury Apartments & Rooms,"Maksimir, Zagreb",1716,8.5
City Center Apartments F6,"Lower Town, Zagreb",1825,9.0
Apartments Zagreb1875,"Lower Town, Zagreb",2070,9.6
Villa Madison,"Maksimir, Zagreb",2420,8.9
B&B Cool Centre Zagreb,"Lower Town, Zagreb",2336,8.5
B&B Concept,"Lower Town, Zagreb",2474,8.5
Hi-End Apartment,"Lower Town, Zagreb",2903,9.4
Green Diamond,Zagreb,3000,9.6
Kruge Luxury,Zagreb,3000,9.4
B&B Cvjetni,"Lower Town, Zagreb",2874,8.9
MINT Boutique Studio Apartments,"Lower Town, Zagreb",3101,9.5
A8 b&b,"Lower Town, Zagreb",3074,9.2
Angel Main Square Center Zagreb,"Lower Town, Zagreb",2760,8.1
B&B Fontana,"Lower Town, Zagreb",3074,8.9
B&B Centar,"Lower Town, Zagreb",3400,9.7
B&B Schlosser,"Lower Town, Zagreb",3074,8.6
Downtown Beauty Twins Apartment,"Lower Town, Zagreb",3505,9.8
Admiral Hotel,"Jarun, Zagreb",3256,9.1
Timeout Heritage Hotel Zagreb,"Lower Town, Zagreb",2754,7.5
